date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-09-22,64,172,69,2535570,65
2024-09-23,39,72,45,1130665,34
2024-09-24,50,68,40,529350,35
2024-09-25,53,118,98,1174740,52
2024-09-26,52,151,110,1641040,49
2024-09-27,73,150,98,2200680,67
2024-09-28,68,138,79,2121715,67
2024-09-29,39,79,40,1355450,39
2024-09-30,38,58,68,867184,31
2024-10-01,26,82,61,1151364,26
2024-10-02,41,68,46,876124,40
2024-10-03,33,51,32,918174,29
2024-10-04,66,148,75,1930554,63
2024-10-05,40,173,68,2548450,41
2024-10-06,42,122,77,1821950,41
2024-10-07,34,50,34,784770,34
2024-10-08,41,90,56,917790,28
2024-10-09,31,111,54,873918,32
2024-10-10,39,61,38,1073240,37
2024-10-11,50,90,54,1491102,47
2024-10-12,62,163,81,2302466,60
2024-10-13,45,166,75,2567646,45
2024-10-14,18,53,46,1001767,18
2024-10-15,15,22,16,356820,15
2024-10-16,42,115,79,1372330,41
2024-10-17,67,172,97,2151760,64
2024-10-18,76,144,95,1421700,76
2024-10-19,80,163,109,2282100,80
2024-10-20,59,152,87,1695700,60
2024-10-21,60,95,79,1302974,55
2024-10-22,66,152,89,1687969,55
2024-10-23,49,115,66,938124,48
2024-10-24,52,83,66,1047234,49
2024-10-25,86,133,90,1614964,80
2024-10-26,98,233,122,3212390,99
2024-10-27,66,133,89,1562340,63
2024-10-28,57,140,89,1746060,57
2024-10-29,52,103,90,983090,52
2024-10-30,55,124,93,1118620,54
2024-10-31,29,111,65,1655390,27
2024-11-01,49,106,49,1887540,35
2024-11-02,69,181,90,2975540,68
2024-11-03,37,159,68,2701730,37
2024-11-04,22,91,59,1453280,22
2024-11-05,18,84,44,377040,17
2024-11-06,21,85,54,978600,21
2024-11-07,32,104,71,1537830,31
2024-11-08,32,103,56,1685510,31
2024-11-09,63,210,86,3253150,64
2024-11-10,26,144,56,2241215,27
2024-11-11,29,140,61,2051524,28
2024-11-12,22,86,42,919714,20
2024-11-13,22,97,62,1039500,20
2024-11-14,12,85,32,987350,12
2024-11-15,17,68,28,1023200,17
2024-11-16,56,145,74,3257360,40
2024-11-17,32,151,62,2286130,33
2024-11-18,22,118,61,2222780,19
2024-11-19,14,95,56,1247920,14
2024-11-20,13,53,20,874550,13
2024-11-21,27,96,66,1625193,24
2024-11-22,39,115,65,1510703,39
2024-11-23,54,168,68,2484852,55
2024-11-24,24,126,58,2191840,23
2024-11-25,23,121,50,1331330,24
2024-11-26,21,104,45,1348950,21
2024-11-27,4,47,36,641820,4
2024-11-28,17,66,20,836820,17
2024-11-29,13,85,34,2290020,13
2024-11-30,30,123,45,2235950,30
2024-12-01,26,104,36,1595520,14
2024-12-02,20,77,58,1397100,21
2024-12-03,6,42,11,406024,7
2024-12-04,20,19,14,200640,14
2024-12-05,22,21,13,291600,11
2024-12-06,30,45,38,209960,30
2024-12-07,44,82,55,948340,44
2024-12-08,13,19,13,273970,13
2024-12-09,11,19,11,287220,11
2024-12-10,2,6,3,83050,3
2024-12-11,8,18,9,93500,9
2024-12-12,5,8,6,95880,5
2024-12-13,17,26,15,52910,15
2024-12-14,21,62,25,1204020,21
2024-12-15,7,10,7,231350,7
2024-12-16,1,1,1,0,1
2024-12-17,1,1,1,40200,1
2024-12-18,1,17,2,88000,2
2024-12-19,1,1,1,59700,1
2024-12-20,1,3,1,136200,1
