date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-03-26,32,152,92,2660450,31
2024-03-27,37,110,63,1432924,35
2024-03-28,41,87,45,1547699,37
2024-03-29,46,172,87,2899420,43
2024-03-30,49,200,87,3745775,48
2024-03-31,31,132,69,2242910,31
2024-04-01,52,62,35,941060,22
2024-04-02,23,76,42,1122780,19
2024-04-03,9,71,45,908240,9
2024-04-04,16,43,25,791710,10
2024-04-05,20,60,33,1103530,20
2024-04-06,30,144,80,2805300,30
2024-04-07,37,117,75,2063430,32
2024-04-08,16,54,28,909150,13
2024-04-09,14,67,57,1133100,14
2024-04-10,22,94,61,1272980,18
2024-04-11,20,114,79,1828560,19
2024-04-12,23,116,66,1837680,23
2024-04-13,25,120,62,2318790,23
2024-04-14,33,85,88,1522010,25
2024-04-15,23,57,67,1042900,19
2024-04-16,15,25,31,435500,6
2024-04-17,12,72,59,1055000,12
2024-04-18,18,72,81,1254600,17
2024-04-19,20,136,78,1765430,20
2024-04-20,34,105,39,2386910,34
2024-04-21,23,42,37,951900,18
2024-04-22,13,26,12,611800,11
2024-04-23,7,25,11,442150,7
2024-04-24,12,31,15,707900,11
2024-04-25,23,41,30,848350,19
2024-04-26,22,63,26,1304350,22
2024-04-27,20,55,22,1446350,20
2024-04-28,24,79,36,1752960,22
2024-04-29,22,38,20,980570,18
2024-04-30,5,17,8,289960,5
2024-05-01,14,30,12,435040,11
2024-05-02,11,44,23,839820,11
2024-05-03,29,83,28,1989375,26
2024-05-04,24,66,26,1691515,22
2024-05-05,14,45,16,1237720,14
2024-05-06,2,4,2,91300,2
2024-05-07,5,3,2,39600,2
2024-05-08,3,13,5,186780,2
2024-05-09,5,31,25,422480,5
2024-05-10,25,151,76,2044963,22
2024-05-11,12,56,23,1095273,11
2024-05-12,4,11,6,209593,4
2024-05-13,12,15,6,182760,6
2024-05-14,8,51,28,824440,8
2024-05-15,5,10,6,138940,4
2024-05-16,10,32,16,347790,9
2024-05-17,6,14,8,306730,6
2024-05-18,26,158,87,2263600,26
2024-05-19,8,38,32,636400,8
2024-05-20,6,6,4,143400,4
2024-05-21,2,10,10,165000,2
2024-05-22,5,13,6,169620,5
2024-05-23,4,102,37,1238280,4
2024-05-24,6,46,26,795200,6
2024-05-25,16,71,24,1341200,16
2024-05-26,6,39,18,450500,6
2024-05-27,2,3,2,82700,2
2024-05-28,1,2,1,41800,1
2024-05-29,6,4,2,68820,2
2024-05-30,4,20,18,288270,3
2024-05-31,2,8,4,208370,2
2024-06-01,9,30,12,711320,9
2024-06-02,5,53,23,753420,5
2024-06-03,1,2,1,71600,1
2024-06-04,1,1,1,53900,1
2024-06-05,1,15,15,19800,1
2024-06-06,8,9,8,109350,5
2024-06-07,5,15,13,235850,5
2024-06-08,8,20,8,578300,8
2024-06-09,5,9,7,177280,5
2024-06-10,5,46,16,668300,5
2024-06-11,1,1,1,7480,1
2024-06-12,0,0,0,0,0
2024-06-13,4,45,23,658350,3
2024-06-14,2,8,4,105150,2
2024-06-15,4,12,4,386400,4
2024-06-16,1,2,1,88000,1
2024-06-17,0,0,0,0,0
2024-06-18,2,6,2,103398,2
2024-06-19,0,0,0,0,0
2024-06-20,0,0,0,0,0
2024-06-21,3,7,3,157400,3
2024-06-22,5,10,5,340200,5
2024-06-23,2,2,2,83200,2
