date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-10-28,55,128,72,1725710,54
2025-10-29,55,103,68,1140680,54
2025-10-30,50,136,105,2082000,50
2025-10-31,65,127,76,1991490,61
2025-11-01,87,169,90,3146066,82
2025-11-02,82,164,81,3170495,72
2025-11-03,31,62,37,1108590,31
2025-11-04,35,92,58,1611410,35
2025-11-05,63,92,63,1868040,55
2025-11-06,60,114,91,1565710,60
2025-11-07,64,125,85,2038610,63
2025-11-08,60,233,120,3357675,60
2025-11-09,48,128,66,2035470,46
2025-11-10,48,141,89,2474080,48
2025-11-11,63,116,98,1946630,61
2025-11-12,63,108,79,1964790,60
2025-11-13,55,139,93,1796900,52
2025-11-14,81,187,98,2636469,80
2025-11-15,58,193,104,1930860,58
2025-11-16,66,153,101,3206465,65
2025-11-17,61,113,74,2172950,49
2025-11-18,36,117,73,1282760,33
2025-11-19,47,92,59,1163760,47
2025-11-20,62,136,104,1716390,62
2025-11-21,66,108,67,1878226,64
2025-11-22,89,215,107,3900112,85
2025-11-23,67,166,85,3580001,65
2025-11-24,50,96,57,1805570,49
2025-11-25,45,89,59,1095140,45
2025-11-26,38,87,59,565915,38
2025-11-27,45,76,83,1459340,44
2025-11-28,56,197,94,2375280,55
2025-11-29,47,176,94,3983416,46
2025-11-30,46,97,45,1760240,38
2025-12-01,31,57,33,964325,30
2025-12-02,23,38,26,759010,22
2025-12-03,13,32,20,199190,13
2025-12-04,28,126,60,1868010,28
2025-12-05,22,64,33,1397100,22
2025-12-06,38,118,63,3292716,38
2025-12-07,19,36,21,635650,18
2025-12-08,26,82,41,1297450,23
2025-12-09,21,68,43,821370,21
2025-12-10,16,31,19,401610,16
2025-12-11,17,78,53,1643705,17
2025-12-12,22,51,28,1301170,21
2025-12-13,29,52,35,798800,29
2025-12-14,21,87,49,1562450,21
2025-12-15,19,54,43,901820,19
2025-12-16,17,24,17,251240,17
2025-12-17,15,18,18,103400,15
2025-12-18,28,37,28,595410,28
2025-12-19,9,21,10,531550,9
2025-12-20,22,44,22,1142845,21
2025-12-21,14,49,29,815210,14
2025-12-22,14,16,14,155110,13
2025-12-23,19,36,21,751650,19
2025-12-24,17,18,17,257500,17
2025-12-25,26,38,27,719140,25
2025-12-26,35,53,34,960371,26
2025-12-27,40,71,35,1562408,30
2025-12-28,25,65,35,1776480,25
2025-12-29,14,32,14,1734684,14
2025-12-30,10,25,10,1029630,10
2025-12-31,22,53,22,1749924,22
2026-01-01,16,40,16,1879330,16
2026-01-02,7,14,7,577810,7
2026-01-03,5,11,5,491650,5
2026-01-04,2,3,2,137400,2
2026-01-05,3,5,3,333250,3
2026-01-06,0,0,0,0,0
2026-01-07,11,11,11,726500,11
2026-01-08,7,10,7,408200,7
2026-01-09,6,11,6,220000,6
2026-01-10,8,25,11,489200,7
2026-01-11,5,26,7,408800,5
2026-01-12,4,11,4,157750,4
2026-01-13,5,5,5,36300,5
2026-01-14,9,10,9,95150,9
2026-01-15,7,8,7,85250,7
2026-01-16,6,10,7,37180,6
2026-01-17,15,27,15,576320,15
2026-01-18,6,13,7,194700,6
2026-01-19,4,8,4,196700,4
2026-01-20,1,8,3,105600,1
2026-01-21,0,0,0,0,0
2026-01-22,2,3,2,197400,2
2026-01-23,7,12,7,147400,7
2026-01-24,11,22,11,443400,10
2026-01-25,2,10,4,170500,2
2026-01-26,1,3,1,42900,1
