date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-10-23,64,146,102,1847080,61
2025-10-24,53,122,80,1657050,49
2025-10-25,70,178,112,2642910,70
2025-10-26,40,115,68,1885074,40
2025-10-27,61,104,83,1799975,57
2025-10-28,53,127,70,1715820,52
2025-10-29,52,101,65,1119900,51
2025-10-30,49,137,104,2142520,49
2025-10-31,66,129,77,2026890,62
2025-11-01,80,161,83,3085986,75
2025-11-02,81,163,80,3153335,71
2025-11-03,29,58,35,988940,29
2025-11-04,38,95,61,1638610,38
2025-11-05,65,94,65,1887980,57
2025-11-06,62,115,93,1463110,62
2025-11-07,59,119,80,1874310,58
2025-11-08,59,235,119,3596155,59
2025-11-09,46,125,64,1976870,44
2025-11-10,42,133,83,2407400,42
2025-11-11,58,111,93,1909590,56
2025-11-12,60,105,76,1941530,57
2025-11-13,50,129,88,1795420,47
2025-11-14,79,185,96,2620469,78
2025-11-15,49,176,95,1632160,49
2025-11-16,69,157,104,3296665,68
2025-11-17,63,115,76,2010760,51
2025-11-18,33,113,70,1159460,30
2025-11-19,45,91,57,1110460,45
2025-11-20,60,131,102,1695000,60
2025-11-21,62,103,63,1823836,60
2025-11-22,90,218,108,3936312,86
2025-11-23,67,170,85,3709301,65
2025-11-24,48,94,55,1789570,47
2025-11-25,36,80,50,977560,36
2025-11-26,30,78,51,478635,30
2025-11-27,40,71,78,1422740,39
2025-11-28,49,184,87,2200630,48
2025-11-29,39,155,86,3708496,38
2025-11-30,41,90,40,1621840,33
2025-12-01,27,53,29,1090895,26
2025-12-02,18,33,21,721530,17
2025-12-03,9,28,16,169960,9
2025-12-04,24,122,56,1838780,24
2025-12-05,16,58,27,1353350,16
2025-12-06,32,108,57,3132600,32
2025-12-07,12,27,14,430500,11
2025-12-08,24,80,39,1284800,21
2025-12-09,18,65,40,800140,18
2025-12-10,18,33,21,416130,18
2025-12-11,20,80,56,1670925,20
2025-12-12,21,50,27,1293910,20
2025-12-13,29,53,35,799900,29
2025-12-14,21,87,49,1562450,21
2025-12-15,18,50,42,826140,18
2025-12-16,18,24,18,221760,18
2025-12-17,17,20,20,117920,17
2025-12-18,25,34,25,599610,25
2025-12-19,9,21,10,531550,9
2025-12-20,20,39,20,699345,19
2025-12-21,12,45,27,648010,12
2025-12-22,13,14,13,155110,12
2025-12-23,18,34,20,567650,18
2025-12-24,17,18,17,257500,17
2025-12-25,26,38,27,719140,25
2025-12-26,35,53,34,960371,26
2025-12-27,41,72,36,1563508,31
2025-12-28,25,65,35,1776480,25
2025-12-29,13,29,13,1577284,13
2025-12-30,9,22,9,865030,9
2025-12-31,19,48,19,1684430,19
2026-01-01,11,31,11,1650070,11
2026-01-02,8,16,8,723010,8
2026-01-03,6,12,6,492750,6
2026-01-04,2,3,2,137400,2
2026-01-05,3,5,3,333250,3
2026-01-06,0,0,0,0,0
2026-01-07,10,10,10,601100,10
2026-01-08,6,9,6,301500,6
2026-01-09,6,11,6,220000,6
2026-01-10,9,26,12,490300,8
2026-01-11,5,26,7,408800,5
2026-01-12,4,11,4,157750,4
2026-01-13,5,5,5,36300,5
2026-01-14,9,10,9,95150,9
2026-01-15,6,6,6,45650,6
2026-01-16,6,10,7,37180,6
2026-01-17,16,28,16,577420,16
2026-01-18,4,7,4,106700,4
2026-01-19,2,3,2,65200,2
2026-01-20,1,8,3,105600,1
2026-01-21,0,0,0,0,0
