date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-05-16,25,126,82,2207640,25
2025-05-17,41,221,101,3588470,41
2025-05-18,20,91,63,1609940,18
2025-05-19,35,65,54,1041060,22
2025-05-20,27,88,61,1691660,25
2025-05-21,17,56,44,629260,15
2025-05-22,21,60,51,808840,21
2025-05-23,29,63,48,1086680,29
2025-05-24,47,91,63,1800176,43
2025-05-25,25,82,69,1293890,19
2025-05-26,30,83,73,1189540,22
2025-05-27,17,50,25,803943,16
2025-05-28,17,89,55,1072910,16
2025-05-29,15,42,42,655350,13
2025-05-30,17,54,47,923050,17
2025-05-31,20,49,43,1146080,20
2025-06-01,27,77,50,999990,19
2025-06-02,15,72,42,748990,9
2025-06-03,22,50,29,957090,18
2025-06-04,5,18,16,167860,5
2025-06-05,18,85,57,1016110,18
2025-06-06,8,54,35,981850,8
2025-06-07,23,109,45,2001780,22
2025-06-08,13,80,42,1219430,13
2025-06-09,9,43,25,638050,8
2025-06-10,17,82,44,1017280,14
2025-06-11,7,33,18,387700,6
2025-06-12,17,106,58,1180960,16
2025-06-13,12,49,36,880580,12
2025-06-14,22,64,25,1499030,21
2025-06-15,29,76,44,1145914,18
2025-06-16,12,64,34,778800,8
2025-06-17,5,17,10,498600,5
2025-06-18,11,72,43,694880,9
2025-06-19,8,74,42,968000,8
2025-06-20,15,38,36,927650,15
2025-06-21,16,45,16,1073450,16
2025-06-22,7,172,82,2716500,7
2025-06-23,6,62,26,757900,6
2025-06-24,14,39,39,728450,14
2025-06-25,4,4,3,183700,3
2025-06-26,14,91,59,1164180,12
2025-06-27,11,76,41,1283710,10
2025-06-28,22,122,59,2120270,22
2025-06-29,5,45,29,681200,5
2025-06-30,6,96,44,1130580,6
2025-07-01,25,62,,813340,5
2025-07-02,5,64,29,912540,5
2025-07-03,6,48,34,497540,6
2025-07-04,6,20,11,338960,6
2025-07-05,14,41,18,709650,14
2025-07-06,15,60,40,948760,11
2025-07-07,2,39,23,56980,2
2025-07-08,6,11,9,179480,4
2025-07-09,3,28,13,137280,3
2025-07-10,2,34,28,410740,2
2025-07-11,7,11,8,214950,5
2025-07-12,10,41,19,900150,10
2025-07-13,15,55,52,723800,11
2025-07-14,10,20,16,249480,10
2025-07-15,4,19,27,352600,4
2025-07-16,10,18,16,177760,6
2025-07-17,2,43,38,496610,2
2025-07-18,12,58,31,1186100,11
2025-07-19,30,92,28,1517020,23
2025-07-20,16,68,42,1256360,16
2025-07-21,5,21,8,273380,5
2025-07-22,6,9,4,145580,4
2025-07-23,14,21,13,394810,12
2025-07-24,15,27,42,422310,13
2025-07-25,14,49,16,907550,13
2025-07-26,15,56,19,1179170,15
2025-07-27,18,60,27,836000,10
2025-07-28,13,39,17,517446,9
2025-07-29,6,18,9,321996,5
2025-07-30,3,14,7,154506,3
2025-07-31,2,11,5,157086,2
2025-08-01,28,90,30,1491084,26
2025-08-02,9,42,13,745850,9
2025-08-03,5,45,7,560950,5
2025-08-04,3,5,3,229200,3
2025-08-05,3,6,3,174900,3
2025-08-06,1,8,2,0,1
2025-08-07,0,0,0,0,0
2025-08-08,8,26,9,347100,8
2025-08-09,14,40,16,944700,14
2025-08-10,14,42,16,1034800,13
2025-08-11,11,36,12,762000,10
2025-08-12,6,29,11,683900,6
2025-08-13,11,30,10,599550,9
2025-08-14,15,44,14,891950,12
