date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-09-24,64,146,108,1849134,62
2025-09-25,66,130,95,1476072,64
2025-09-26,63,122,101,1770890,57
2025-09-27,73,166,109,3193438,72
2025-09-28,38,116,80,1707175,38
2025-09-29,62,200,127,1688221,61
2025-09-30,49,78,60,796570,34
2025-10-01,28,76,58,1124590,27
2025-10-02,44,106,76,1212040,44
2025-10-03,55,74,47,1237400,43
2025-10-04,33,158,94,2852400,33
2025-10-05,42,84,72,1162320,41
2025-10-06,41,68,79,1079670,34
2025-10-07,27,90,59,1373170,24
2025-10-08,32,73,56,842490,32
2025-10-09,28,41,30,511460,26
2025-10-10,39,62,63,837640,39
2025-10-11,71,134,92,2573048,67
2025-10-12,52,175,109,3271961,52
2025-10-13,21,77,80,1126543,21
2025-10-14,20,46,39,821145,20
2025-10-15,25,73,59,1365880,25
2025-10-16,38,96,53,1421260,35
2025-10-17,72,152,93,1528790,60
2025-10-18,71,136,113,2285610,66
2025-10-19,32,115,90,1678664,32
2025-10-20,33,90,47,1351270,32
2025-10-21,30,98,67,1576570,28
2025-10-22,24,109,82,1828880,24
2025-10-23,26,97,62,1337700,25
2025-10-24,37,93,51,1256300,36
2025-10-25,66,150,94,2265140,66
2025-10-26,23,64,48,929364,23
2025-10-27,26,85,57,1361070,26
2025-10-28,22,81,55,1135110,20
2025-10-29,32,68,39,693640,31
2025-10-30,34,104,93,1663790,33
2025-10-31,56,126,68,1808330,52
2025-11-01,48,106,53,1901240,44
2025-11-02,56,105,53,2053635,46
2025-11-03,20,49,26,1032640,20
2025-11-04,10,59,33,1020380,10
2025-11-05,37,50,33,642323,32
2025-11-06,34,71,56,800273,34
2025-11-07,38,85,59,1354518,38
2025-11-08,36,193,91,2880323,36
2025-11-09,23,87,40,1285293,23
2025-11-10,39,111,69,1335333,39
2025-11-11,48,96,63,1096000,47
2025-11-12,55,81,63,1040750,51
2025-11-13,28,104,69,1498150,25
2025-11-14,47,133,61,1530064,47
2025-11-15,42,160,86,1622250,42
2025-11-16,26,77,41,1455310,26
2025-11-17,24,57,33,1129630,16
2025-11-18,14,80,40,413490,13
2025-11-19,32,63,38,685450,32
2025-11-20,40,84,82,1072640,40
2025-11-21,45,70,43,1121696,42
2025-11-22,45,158,66,3047832,42
2025-11-23,41,111,69,2653546,39
2025-11-24,28,46,31,776010,27
2025-11-25,18,55,31,631160,18
2025-11-26,13,59,34,298760,13
2025-11-27,22,36,40,1037550,21
2025-11-28,37,155,70,1747010,36
2025-11-29,30,143,78,3418270,29
2025-11-30,38,83,37,1206280,30
2025-12-01,18,37,20,894180,18
2025-12-02,12,20,13,592080,11
2025-12-03,9,29,17,187560,9
2025-12-04,6,8,6,160000,6
2025-12-05,12,24,15,582700,12
2025-12-06,13,32,15,1262200,13
2025-12-07,6,18,9,262750,6
2025-12-08,1,2,1,39600,1
2025-12-09,2,2,2,17160,2
2025-12-10,8,9,8,73700,8
2025-12-11,1,3,1,255300,1
2025-12-12,5,11,6,189200,5
2025-12-13,13,33,15,419650,13
2025-12-14,15,25,16,649450,15
2025-12-15,0,0,0,0,0
2025-12-16,1,2,1,37400,1
2025-12-17,7,7,7,12100,7
2025-12-18,8,9,8,278100,8
2025-12-19,6,15,7,374800,6
2025-12-20,19,22,13,260040,13
2025-12-21,6,23,12,392200,6
2025-12-22,1,4,4,9800,1
2025-12-23,2,6,2,132050,2
