date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-02-28,49,102,67,1241310,44
2024-02-29,46,56,49,540890,38
2024-03-01,55,124,85,1624870,41
2024-03-02,68,184,127,2461300,68
2024-03-03,74,92,54,1307684,51
2024-03-04,43,109,72,873640,36
2024-03-05,36,107,76,1217850,32
2024-03-06,51,74,81,540820,46
2024-03-07,49,91,74,981190,48
2024-03-08,47,130,96,1755580,45
2024-03-09,62,167,79,3039220,55
2024-03-10,49,100,68,1579850,42
2024-03-11,61,86,61,809795,50
2024-03-12,52,77,75,963215,44
2024-03-13,53,128,98,948920,50
2024-03-14,59,165,111,1929430,57
2024-03-15,76,121,88,1690860,62
2024-03-16,100,187,108,3295360,79
2024-03-17,66,108,67,1716460,57
2024-03-18,40,100,65,1445650,39
2024-03-19,46,120,69,1963990,45
2024-03-20,48,84,51,1462430,48
2024-03-21,64,92,66,1239950,62
2024-03-22,57,148,83,2471755,57
2024-03-23,58,193,103,3943870,58
2024-03-24,46,124,75,2221570,46
2024-03-25,37,130,84,2103330,36
2024-03-26,41,129,91,2049780,40
2024-03-27,23,72,47,852610,23
2024-03-28,48,87,66,1527760,45
2024-03-29,53,147,94,2392290,52
2024-03-30,66,216,101,4042810,66
2024-03-31,32,103,66,1670348,32
2024-04-01,48,73,48,1140330,34
2024-04-02,29,37,26,705900,25
2024-04-03,12,21,17,135760,12
2024-04-04,16,33,18,870560,16
2024-04-05,42,81,43,1394190,42
2024-04-06,25,74,43,1614310,25
2024-04-07,37,79,53,1543750,32
2024-04-08,16,30,21,524650,16
2024-04-09,17,31,21,589400,16
2024-04-10,13,29,20,340600,12
2024-04-11,20,35,27,652310,20
2024-04-12,22,85,45,1631530,22
2024-04-13,16,73,35,1744700,16
2024-04-14,32,52,47,1177600,24
2024-04-15,16,33,26,764560,16
2024-04-16,29,72,42,941950,20
2024-04-17,7,20,13,261570,7
2024-04-18,21,44,45,1033810,21
2024-04-19,22,75,40,1203000,22
2024-04-20,65,139,74,2072927,65
2024-04-21,36,57,53,1157300,36
2024-04-22,17,26,18,688770,17
2024-04-23,8,15,10,125590,8
2024-04-24,27,40,29,488070,20
2024-04-25,10,13,9,76860,8
2024-04-26,20,44,21,1077020,20
2024-04-27,22,48,24,1060100,22
2024-04-28,54,105,68,1296800,53
2024-04-29,15,31,16,733270,15
2024-04-30,2,4,2,0,2
2024-05-01,5,9,5,43450,5
2024-05-02,55,103,73,544100,53
2024-05-03,65,141,76,1721015,63
2024-05-04,54,109,67,970735,53
2024-05-05,38,72,39,926070,38
2024-05-06,4,6,4,15510,4
2024-05-07,3,5,3,6050,3
2024-05-08,4,14,5,144650,4
2024-05-09,6,41,24,527450,6
2024-05-10,26,147,77,1958613,23
2024-05-11,19,61,29,539983,19
2024-05-12,3,5,4,33623,3
2024-05-13,6,12,4,70430,4
2024-05-14,10,49,29,637860,10
2024-05-15,12,17,13,164370,12
2024-05-16,10,15,11,88550,10
2024-05-17,2,3,2,71600,2
2024-05-18,64,176,115,2081820,64
2024-05-19,9,59,33,829050,9
2024-05-20,6,9,6,55000,6
2024-05-21,6,15,13,177650,6
2024-05-22,4,9,4,32450,4
2024-05-23,3,5,3,6050,3
2024-05-24,4,7,4,206050,4
2024-05-25,18,41,19,601487,18
2024-05-26,9,17,9,237800,9
2024-05-27,0,0,0,0,0
