date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-05-11,63,147,95,1927041,50
2026-05-12,66,183,109,2403001,65
2026-05-13,62,131,85,1914787,53
2026-05-14,53,107,76,1197480,52
2026-05-15,61,126,88,1600930,61
2026-05-16,89,216,132,3262240,89
2026-05-17,48,184,107,2654890,39
2026-05-18,56,166,111,2042220,56
2026-05-19,59,149,111,1733660,58
2026-05-20,60,102,79,866055,58
2026-05-21,56,92,66,1018465,56
2026-05-22,55,93,75,1159500,54
2026-05-23,74,199,105,3735952,72
2026-05-24,46,96,69,1340700,43
2026-05-25,50,163,107,2133990,49
2026-05-26,53,119,95,1363990,50
2026-05-27,35,70,50,558350,34
2026-05-28,47,118,77,1527800,47
2026-05-29,59,169,103,2833810,53
2026-05-30,54,158,81,2942365,54
2026-05-31,29,42,29,582370,28
2026-06-01,68,113,80,1374380,36
2026-06-02,54,103,93,1021750,54
2026-06-03,49,67,72,371451,49
2026-06-04,60,166,104,2032086,55
2026-06-05,55,121,100,1693696,54
2026-06-06,48,98,55,1642156,48
2026-06-07,42,48,44,443300,42
2026-06-08,21,114,93,1362460,21
2026-06-09,29,64,55,554720,28
2026-06-10,36,53,63,620510,36
2026-06-11,35,140,100,1365331,33
2026-06-12,33,54,56,911160,32
2026-06-13,67,163,103,2273245,67
2026-06-14,25,76,43,1034665,23
2026-06-15,20,127,84,1798600,19
2026-06-16,17,49,49,522687,17
2026-06-17,48,73,74,504480,48
2026-06-18,23,53,64,471010,21
2026-06-19,55,122,80,825100,55
2026-06-20,73,169,106,2160320,71
2026-06-21,29,48,34,667990,29
2026-06-22,13,50,58,721050,13
2026-06-23,18,98,81,987110,15
2026-06-24,13,49,36,677900,13
2026-06-25,18,81,64,1100830,16
2026-06-26,60,55,104,984940,59
2026-06-27,35,91,69,1590640,30
2026-06-28,25,72,58,686890,25
2026-06-29,28,35,48,307940,26
2026-06-30,26,32,67,231250,26
2026-07-01,56,28,23,276120,23
2026-07-02,14,57,49,521120,12
2026-07-03,19,49,52,719130,17
2026-07-04,17,46,26,623230,17
2026-07-05,17,66,44,996390,17
2026-07-06,16,43,42,434020,16
2026-07-07,11,50,38,518200,11
2026-07-08,17,55,35,653610,14
2026-07-09,9,28,16,191500,9
2026-07-10,17,99,62,1445920,17
2026-07-11,24,102,48,1842550,24
2026-07-12,13,49,36,718200,13
2026-07-13,13,19,13,207920,12
2026-07-14,27,27,24,226930,21
2026-07-15,23,38,34,406351,22
2026-07-16,20,106,68,1327370,19
2026-07-17,17,64,33,908530,13
2026-07-18,57,121,61,2555055,54
2026-07-19,37,101,44,1683750,37
2026-07-20,15,47,19,424807,14
2026-07-21,8,46,26,679110,7
2026-07-22,11,24,12,340760,10
2026-07-23,9,18,10,160570,8
2026-07-24,18,100,67,1431400,17
2026-07-25,35,145,79,2684500,34
2026-07-26,27,67,29,713042,26
2026-07-27,22,39,25,542720,22
2026-07-28,20,95,49,907200,18
2026-07-29,14,65,35,838650,13
2026-07-30,16,34,14,486946,12
2026-07-31,30,116,60,1555386,24
2026-08-01,121,258,116,4243727,86
2026-08-02,20,69,45,811294,20
2026-08-03,41,51,30,699134,29
2026-08-04,45,52,40,447685,36
2026-08-05,35,70,50,778010,34
2026-08-06,20,42,25,675386,20
2026-08-07,32,91,66,1336282,31
2026-08-08,10,32,13,819130,10
2026-08-09,17,47,17,1307490,17
