date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-04-28,67,203,115,3555980,65
2024-04-29,54,134,80,1931770,54
2024-04-30,37,110,78,1637940,34
2024-05-01,43,134,89,1889950,41
2024-05-02,30,105,59,1970160,28
2024-05-03,68,191,90,3590565,66
2024-05-04,68,216,117,4092842,66
2024-05-05,39,140,63,2621530,39
2024-05-06,19,39,19,652990,16
2024-05-07,30,68,50,725330,24
2024-05-08,22,97,71,1145540,21
2024-05-09,26,79,57,1109290,26
2024-05-10,61,177,101,2263400,57
2024-05-11,46,146,100,2455970,45
2024-05-12,36,93,76,1427250,31
2024-05-13,46,77,79,1003530,36
2024-05-14,33,134,85,1748310,33
2024-05-15,45,72,73,736320,43
2024-05-16,31,74,66,736270,30
2024-05-17,42,101,89,1213920,43
2024-05-18,78,233,139,3236770,78
2024-05-19,25,109,71,1502160,22
2024-05-20,34,101,92,1120380,30
2024-05-21,31,99,85,1235020,31
2024-05-22,26,58,70,633230,26
2024-05-23,38,168,111,1795940,38
2024-05-24,32,105,92,1650600,32
2024-05-25,46,155,92,2295017,46
2024-05-26,29,77,75,992460,29
2024-05-27,28,44,66,658240,28
2024-05-28,28,54,66,728540,28
2024-05-29,19,38,35,383420,16
2024-05-30,20,61,58,718840,19
2024-05-31,20,36,60,617320,20
2024-06-01,30,68,33,1242020,29
2024-06-02,12,64,30,973190,11
2024-06-03,14,35,18,429410,14
2024-06-04,26,41,29,601270,25
2024-06-05,10,22,12,94930,10
2024-06-06,21,36,23,142800,17
2024-06-07,16,33,25,496230,16
2024-06-08,24,69,39,1196670,24
2024-06-09,8,15,10,346880,8
2024-06-10,13,68,26,863110,12
2024-06-11,9,28,13,377850,9
2024-06-12,13,27,16,167310,13
2024-06-13,7,62,29,804210,6
2024-06-14,11,21,13,453250,11
2024-06-15,20,47,21,718080,20
2024-06-16,16,68,38,396130,16
2024-06-17,14,22,14,149590,12
2024-06-18,12,33,16,339958,12
2024-06-19,9,24,13,148060,9
2024-06-20,16,50,33,665600,14
2024-06-21,20,44,25,356400,20
2024-06-22,16,55,22,1138150,16
2024-06-23,13,37,31,610650,13
2024-06-24,19,16,15,145870,15
2024-06-25,13,63,38,283180,13
2024-06-26,11,26,15,177430,11
2024-06-27,25,70,34,843050,24
2024-06-28,23,32,25,285760,23
2024-06-29,26,80,28,541210,26
2024-06-30,7,10,7,303050,7
2024-07-01,8,11,8,190100,8
2024-07-02,18,54,35,619430,17
2024-07-03,7,22,11,140580,7
2024-07-04,32,156,78,1234200,32
2024-07-05,9,18,10,242800,9
2024-07-06,11,34,12,502420,11
2024-07-07,6,11,6,234780,6
2024-07-08,13,12,12,8150,12
2024-07-09,12,88,47,1272250,12
2024-07-10,7,7,7,7480,7
2024-07-11,11,30,13,289160,10
2024-07-12,12,22,17,234095,12
2024-07-13,24,57,23,731942,22
2024-07-14,11,34,13,374872,11
2024-07-15,9,11,9,87110,9
2024-07-16,8,8,8,15510,8
2024-07-17,7,7,7,0,7
2024-07-18,8,9,8,105010,8
2024-07-19,9,10,9,42000,9
2024-07-20,14,32,14,538520,14
2024-07-21,7,11,6,230300,6
2024-07-22,12,25,13,185100,12
2024-07-23,11,16,11,139500,11
2024-07-24,9,11,9,60300,9
2024-07-25,14,22,14,322720,14
2024-07-26,2,4,2,174200,2
