date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-05-14,53,107,76,1197480,52
2026-05-15,60,125,87,1592570,60
2026-05-16,91,218,134,3353540,91
2026-05-17,48,184,107,2786230,39
2026-05-18,44,154,99,1970170,44
2026-05-19,66,157,118,1860460,65
2026-05-20,66,109,85,905655,64
2026-05-21,66,102,76,1083915,66
2026-05-22,39,77,59,1159500,38
2026-05-23,73,198,104,3735952,71
2026-05-24,47,98,70,1362260,44
2026-05-25,50,163,107,2133990,49
2026-05-26,53,119,95,1363990,50
2026-05-27,39,75,54,620500,38
2026-05-28,47,118,77,1520430,47
2026-05-29,58,167,102,2800810,52
2026-05-30,56,161,83,2969315,56
2026-05-31,29,41,29,576370,28
2026-06-01,70,115,82,1388900,38
2026-06-02,55,104,94,1021750,55
2026-06-03,50,68,73,379701,50
2026-06-04,61,167,105,2040336,56
2026-06-05,57,123,102,1707996,56
2026-06-06,49,103,56,1724156,49
2026-06-07,44,51,46,465850,44
2026-06-08,21,114,93,1362460,21
2026-06-09,29,64,55,554720,28
2026-06-10,35,51,62,535710,35
2026-06-11,35,140,100,1365331,33
2026-06-12,36,60,59,1014560,35
2026-06-13,66,161,102,2239245,66
2026-06-14,28,83,46,1133665,26
2026-06-15,25,135,89,1895730,24
2026-06-16,21,53,53,554587,21
2026-06-17,48,73,74,504480,48
2026-06-18,24,55,65,609010,22
2026-06-19,55,122,80,825100,55
2026-06-20,74,172,107,2298920,72
2026-06-21,29,48,34,667990,29
2026-06-22,13,50,58,721050,13
2026-06-23,18,98,81,987110,15
2026-06-24,13,49,36,677900,13
2026-06-25,18,81,64,1100830,16
2026-06-26,61,59,105,1025090,60
2026-06-27,37,93,71,1584040,32
2026-06-28,26,74,59,724290,26
2026-06-29,28,35,48,307940,26
2026-06-30,26,32,67,231250,26
2026-07-01,56,28,23,276120,23
2026-07-02,19,62,54,559620,17
2026-07-03,19,49,52,719130,17
2026-07-04,18,47,27,685030,18
2026-07-05,17,66,44,996390,17
2026-07-06,19,47,45,562720,19
2026-07-07,11,50,38,518200,11
2026-07-08,17,55,35,653610,14
2026-07-09,9,28,16,191500,9
2026-07-10,17,99,62,1445920,17
2026-07-11,25,104,49,1898550,25
2026-07-12,14,51,37,757800,14
2026-07-13,13,19,13,207920,12
2026-07-14,28,28,25,243430,22
2026-07-15,23,38,34,406351,22
2026-07-16,20,106,68,1327370,19
2026-07-17,20,70,36,1015890,16
2026-07-18,57,121,61,2555055,54
2026-07-19,38,103,45,1702450,38
2026-07-20,16,49,20,424807,15
2026-07-21,8,46,26,679110,7
2026-07-22,12,26,13,488560,11
2026-07-23,9,18,10,160570,8
2026-07-24,20,104,69,1431400,19
2026-07-25,35,145,79,2684500,34
2026-07-26,26,65,28,686642,25
2026-07-27,23,40,26,552070,23
2026-07-28,21,96,50,915780,19
2026-07-29,14,65,35,838650,13
2026-07-30,17,38,15,533146,13
2026-07-31,30,116,60,1555386,24
2026-08-01,121,258,116,4243727,86
2026-08-02,21,73,46,888294,21
2026-08-03,41,51,30,699134,29
2026-08-04,45,52,40,447685,36
2026-08-05,36,72,51,874810,35
2026-08-06,20,42,25,675386,20
2026-08-07,33,96,67,1394032,32
2026-08-08,25,61,29,1369190,25
2026-08-09,34,74,34,1597060,34
2026-08-10,19,32,19,600500,19
2026-08-11,12,41,14,1111470,12
2026-08-12,15,42,14,1163390,13
