date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-08-02,115,214,106,2760100,90
2024-08-03,108,299,125,4241410,105
2024-08-04,61,211,87,2716757,60
2024-08-05,95,194,89,2366161,82
2024-08-06,84,186,90,2208125,79
2024-08-07,69,155,78,1607800,65
2024-08-08,64,131,90,1797744,62
2024-08-09,79,187,95,2613103,75
2024-08-10,122,296,131,4813244,114
2024-08-11,123,301,147,4712323,112
2024-08-12,123,293,127,4979383,113
2024-08-13,114,281,118,4638897,102
2024-08-14,68,221,113,3233057,62
2024-08-15,68,183,80,2785267,65
2024-08-16,98,260,127,3683421,97
2024-08-17,73,222,101,3155277,72
2024-08-18,51,119,67,1735142,48
2024-08-19,64,118,67,1773997,54
2024-08-20,39,101,58,1264980,39
2024-08-21,32,94,71,1011540,29
2024-08-22,43,130,92,1800300,36
2024-08-23,50,154,72,2178123,40
2024-08-24,53,133,59,2042061,53
2024-08-25,42,120,101,1348920,36
2024-08-26,42,107,79,1386740,37
2024-08-27,60,108,101,1209710,58
2024-08-28,42,118,73,1331460,36
2024-08-29,43,74,62,866750,41
2024-08-30,44,91,52,929230,40
2024-08-31,35,99,51,1209680,35
2024-09-01,35,136,85,2187350,30
2024-09-02,20,42,24,622210,20
2024-09-03,30,71,54,869970,30
2024-09-04,29,46,32,382310,29
2024-09-05,43,85,58,793760,41
2024-09-06,50,141,112,1709250,50
2024-09-07,39,102,44,1824840,39
2024-09-08,33,63,32,817380,31
2024-09-09,23,42,44,541970,20
2024-09-10,13,38,18,299580,13
2024-09-11,39,62,42,271310,38
2024-09-12,49,108,70,764190,48
2024-09-13,70,107,85,1112700,57
2024-09-14,105,183,95,2632671,87
2024-09-15,78,202,100,2251331,77
2024-09-16,19,76,41,1276080,18
2024-09-17,38,100,54,824950,33
2024-09-18,15,48,28,390560,15
2024-09-19,28,51,29,700220,23
2024-09-20,59,90,65,951170,58
2024-09-21,52,115,72,1748930,48
2024-09-22,33,95,40,1484710,34
2024-09-23,18,48,25,436415,14
2024-09-24,29,22,17,177100,16
2024-09-25,42,73,53,497220,42
2024-09-26,45,89,67,537460,43
2024-09-27,48,108,71,1444770,43
2024-09-28,53,102,64,1351750,53
2024-09-29,23,61,42,1003310,23
2024-09-30,14,15,26,268784,9
2024-10-01,16,64,57,1053984,14
2024-10-02,13,28,19,281924,13
2024-10-03,11,18,10,412474,9
2024-10-04,34,65,41,913474,34
2024-10-05,18,108,36,1597350,19
2024-10-06,30,91,63,1373400,25
2024-10-07,21,31,25,335800,21
2024-10-08,14,64,40,475200,14
2024-10-09,13,60,32,334180,13
2024-10-10,20,34,18,676770,18
2024-10-11,18,41,20,691202,15
2024-10-12,36,115,57,1592416,35
2024-10-13,21,91,45,1715456,21
2024-10-14,8,44,29,759870,8
2024-10-15,10,58,44,950410,10
2024-10-16,13,97,61,1301410,11
2024-10-17,12,101,41,1505430,11
2024-10-18,15,51,30,911000,15
2024-10-19,28,66,44,1204120,28
2024-10-20,12,82,37,929400,13
2024-10-21,15,36,33,712044,10
2024-10-22,26,104,47,1021999,14
2024-10-23,15,78,32,890134,14
2024-10-24,17,45,32,791284,15
2024-10-25,39,62,38,924714,33
2024-10-26,51,127,66,1978460,51
2024-10-27,16,46,31,694590,13
2024-10-28,15,37,25,752340,15
2024-10-29,13,35,26,494660,13
2024-10-30,1,3,1,47850,1
