date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-04-18,122,210,128,2881709,113
2026-04-19,64,126,74,1824702,43
2026-04-20,68,161,105,2444910,56
2026-04-21,69,155,107,2336887,67
2026-04-22,47,97,84,1186510,44
2026-04-23,68,152,117,1849000,68
2026-04-24,71,166,114,2227325,69
2026-04-25,85,143,93,2208852,84
2026-04-26,67,157,115,2008460,66
2026-04-27,65,96,87,1152460,64
2026-04-28,30,75,50,1277314,26
2026-04-29,49,84,64,1427975,40
2026-04-30,49,108,79,1589065,49
2026-05-01,163,147,97,2702820,67
2026-05-02,70,188,122,3777522,66
2026-05-03,87,233,137,5072508,84
2026-05-04,106,219,132,4290776,101
2026-05-05,67,168,99,3352355,66
2026-05-06,40,77,58,1065215,31
2026-05-07,26,63,57,925860,26
2026-05-08,37,88,68,1230370,36
2026-05-09,32,131,84,2323680,32
2026-05-10,47,87,63,1361184,35
2026-05-11,38,99,76,1251494,27
2026-05-12,51,184,115,2160114,50
2026-05-13,37,101,68,1289609,34
2026-05-14,29,69,63,739010,29
2026-05-15,46,103,78,1313750,46
2026-05-16,72,236,135,1447910,72
2026-05-17,49,175,106,2528360,36
2026-05-18,27,130,83,1594160,26
2026-05-19,39,107,84,1262070,39
2026-05-20,31,58,61,315365,31
2026-05-21,38,74,68,846685,38
2026-05-22,30,117,83,1632700,30
2026-05-23,64,160,82,2995952,61
2026-05-24,55,82,67,1056690,40
2026-05-25,36,120,103,1545630,35
2026-05-26,34,82,66,892340,33
2026-05-27,27,58,41,379300,27
2026-05-28,32,101,82,1321500,32
2026-05-29,46,134,77,2414330,41
2026-05-30,36,129,71,1834965,36
2026-05-31,46,53,48,407710,46
2026-06-01,89,119,80,1240960,54
2026-06-02,50,121,98,1218550,50
2026-06-03,45,63,50,456490,45
2026-06-04,54,161,99,1991276,49
2026-06-05,41,83,69,1090556,40
2026-06-06,44,87,51,1364886,44
2026-06-07,37,41,39,277970,37
2026-06-08,16,91,67,938630,16
2026-06-09,15,22,21,286650,14
2026-06-10,29,40,37,401840,29
2026-06-11,26,131,73,1369830,26
2026-06-12,15,27,17,432910,15
2026-06-13,61,156,96,2091125,60
2026-06-14,11,16,11,146080,10
2026-06-15,13,101,52,1486200,12
2026-06-16,6,36,19,404800,6
2026-06-17,16,36,23,121550,16
2026-06-18,11,32,34,144540,11
2026-06-19,40,68,41,133100,40
2026-06-20,61,149,72,1721970,59
2026-06-21,5,19,10,253000,5
2026-06-22,5,39,31,631540,5
2026-06-23,10,88,54,901670,7
2026-06-24,7,41,30,605550,7
2026-06-25,8,67,34,985950,8
2026-06-26,48,10,49,507100,47
2026-06-27,25,71,40,960370,20
2026-06-28,17,62,50,622750,17
2026-06-29,15,19,17,163130,14
2026-06-30,18,21,39,117700,18
2026-07-01,39,7,6,71060,6
2026-07-02,4,38,33,256410,4
2026-07-03,12,54,33,799160,10
2026-07-04,13,42,22,697710,13
2026-07-05,8,28,19,507580,8
2026-07-06,10,33,14,348580,10
2026-07-07,5,30,29,508320,5
2026-07-08,10,50,30,624930,9
2026-07-09,5,22,10,152370,5
2026-07-10,7,42,24,530860,7
2026-07-11,17,54,22,918830,17
2026-07-12,9,29,32,454850,9
2026-07-13,4,7,4,41800,3
2026-07-14,7,12,9,93280,7
2026-07-15,7,17,15,162580,7
2026-07-16,2,2,1,27500,1
2026-07-17,5,22,8,418700,5
