date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-08-01,110,255,98,4608800,75
2026-08-02,67,189,75,2987703,52
2026-08-03,89,165,83,2546334,69
2026-08-04,75,161,86,2172058,55
2026-08-05,70,175,91,2427924,65
2026-08-06,59,169,81,2479460,55
2026-08-07,67,211,95,3032460,62
2026-08-08,87,240,102,5303353,81
2026-08-09,59,231,100,5281055,50
2026-08-10,59,180,59,3925455,50
2026-08-11,80,220,77,4704998,63
2026-08-12,60,218,78,4556516,56
2026-08-13,62,213,70,4594428,59
2026-08-14,60,223,85,4789347,59
2026-08-15,38,130,55,3107790,35
2026-08-16,55,144,56,2354735,37
2026-08-17,47,103,60,1484770,37
2026-08-18,32,143,79,1880260,30
2026-08-19,26,94,61,1286931,24
2026-08-20,26,126,65,1940991,24
2026-08-21,63,144,63,2093171,42
2026-08-22,61,203,87,3231325,55
2026-08-23,23,130,75,2146835,23
2026-08-24,35,118,76,1839105,24
2026-08-25,15,121,78,1938865,14
2026-08-26,20,63,33,1094510,19
2026-08-27,18,82,48,1403745,18
2026-08-28,45,100,79,1863365,37
2026-08-29,27,103,45,1913360,25
2026-08-30,17,58,24,1438570,16
2026-08-31,17,30,23,318580,10
2026-09-01,43,26,37,348023,10
2026-09-02,12,31,40,439893,12
2026-09-03,8,109,63,1217153,7
2026-09-04,21,82,56,1063994,20
2026-09-05,49,126,58,1883060,48
2026-09-06,11,68,33,1127610,11
2026-09-07,11,44,31,454510,7
2026-09-08,7,67,58,1123160,5
2026-09-09,11,41,38,482130,11
2026-09-10,13,173,63,2257190,13
2026-09-11,14,81,49,1409480,14
2026-09-12,18,43,20,848580,18
2026-09-13,11,32,33,604940,11
2026-09-14,22,52,40,473670,13
2026-09-15,21,96,35,1323470,20
2026-09-16,7,47,21,550550,5
2026-09-17,7,108,55,1359450,7
2026-09-18,27,39,25,866886,22
2026-09-19,35,90,36,1864065,29
2026-09-20,34,129,64,2683987,31
2026-09-21,30,116,41,2850570,30
2026-09-22,28,89,35,1873080,28
2026-09-23,12,60,37,1118635,11
2026-09-24,11,53,29,595300,9
2026-09-25,40,89,60,1419750,28
2026-09-26,20,77,43,1070840,18
2026-09-27,12,71,57,1161250,11
2026-09-28,6,25,10,152250,5
2026-09-29,9,59,28,745240,9
2026-09-30,8,48,32,246565,8
2026-10-01,13,65,30,938335,12
2026-10-02,13,70,56,1099330,12
2026-10-03,18,95,40,2032680,18
2026-10-04,12,20,9,321330,8
2026-10-05,10,37,19,558195,8
2026-10-06,7,21,11,282565,5
2026-10-07,14,43,20,459705,14
2026-10-08,9,116,61,1632155,9
2026-10-09,22,64,37,756250,21
2026-10-10,17,80,35,1685095,17
2026-10-11,33,63,31,1450695,27
2026-10-12,13,70,40,981420,7
2026-10-13,9,59,50,764500,9
2026-10-14,8,51,43,992790,8
2026-10-15,12,113,53,1572340,10
2026-10-16,16,47,25,1053720,15
2026-10-17,26,65,29,1207454,26
2026-10-18,24,85,50,1345810,12
2026-10-19,13,29,34,559450,10
2026-10-20,9,16,11,207940,5
2026-10-21,13,62,63,815360,11
2026-10-22,6,58,57,535840,6
2026-10-23,23,96,56,1416995,19
2026-10-24,19,95,59,1618535,14
2026-10-25,13,25,12,725790,10
2026-10-26,1,8,4,210800,1
2026-10-27,4,9,4,285500,4
2026-10-28,0,0,0,0,0
2026-10-29,0,0,0,0,0
2026-10-30,7,14,6,241900,6
