date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-09-16,37,97,57,1516870,34
2024-09-17,61,121,86,1305504,44
2024-09-18,46,93,64,866164,42
2024-09-19,55,98,66,1199461,50
2024-09-20,68,167,104,2543397,65
2024-09-21,72,162,101,2734053,69
2024-09-22,65,174,70,2621100,66
2024-09-23,39,73,45,1161395,34
2024-09-24,48,65,38,483550,33
2024-09-25,54,125,99,1225740,53
2024-09-26,51,150,109,1459540,48
2024-09-27,69,147,94,2059010,63
2024-09-28,65,134,77,2063165,65
2024-09-29,40,78,40,1364200,40
2024-09-30,36,55,66,784034,29
2024-10-01,28,85,63,1178864,28
2024-10-02,35,61,40,715674,34
2024-10-03,31,47,30,795774,27
2024-10-04,65,146,74,1833754,62
2024-10-05,37,171,65,2549150,38
2024-10-06,44,123,78,1831710,42
2024-10-07,34,49,35,805330,34
2024-10-08,41,90,56,858390,28
2024-10-09,30,110,53,865558,31
2024-10-10,38,57,37,1010040,36
2024-10-11,50,89,54,1492162,47
2024-10-12,61,163,80,2375166,59
2024-10-13,45,166,75,2503766,45
2024-10-14,16,49,44,889107,16
2024-10-15,13,20,14,342560,13
2024-10-16,19,91,56,1331230,18
2024-10-17,33,135,63,2064830,30
2024-10-18,44,111,63,1437100,44
2024-10-19,49,133,78,2311800,49
2024-10-20,26,117,54,1622600,27
2024-10-21,28,60,47,1147674,23
2024-10-22,35,121,58,1679719,24
2024-10-23,19,85,36,938124,18
2024-10-24,23,54,37,1062634,20
2024-10-25,53,96,57,1404264,47
2024-10-26,68,197,91,3162890,68
2024-10-27,34,98,57,1535540,32
2024-10-28,26,109,58,1739060,26
2024-10-29,21,72,59,976090,21
2024-10-30,24,93,62,1111620,23
2024-10-31,28,111,64,1704040,26
2024-11-01,45,98,45,1726790,31
2024-11-02,66,174,87,2998540,65
2024-11-03,36,158,67,2748730,36
2024-11-04,21,90,58,1446280,21
2024-11-05,15,81,41,362230,14
2024-11-06,21,85,54,978600,21
2024-11-07,31,103,70,1525730,30
2024-11-08,31,103,55,1617210,30
2024-11-09,59,181,81,2981350,59
2024-11-10,25,147,56,2419415,26
2024-11-11,27,127,58,2015664,25
2024-11-12,21,84,41,892214,19
2024-11-13,21,91,60,963600,19
2024-11-14,12,85,32,987350,12
2024-11-15,15,65,26,965700,15
2024-11-16,56,145,74,3257360,40
2024-11-17,31,148,61,2221780,32
2024-11-18,19,115,58,2130720,16
2024-11-19,14,95,56,1247920,14
2024-11-20,13,53,20,874550,13
2024-11-21,25,95,63,1632195,21
2024-11-22,38,117,65,1517705,38
2024-11-23,53,165,67,2407533,54
2024-11-24,23,128,58,2202840,22
2024-11-25,20,111,46,1176230,21
2024-11-26,11,82,35,1199300,11
2024-11-27,4,47,36,641820,4
2024-11-28,16,30,18,636070,15
2024-11-29,10,79,31,2192120,10
2024-11-30,27,117,42,1836900,27
2024-12-01,26,104,36,1595520,14
2024-12-02,20,77,58,1397100,21
2024-12-03,8,47,13,601324,9
2024-12-04,20,19,14,200640,14
2024-12-05,22,21,13,291600,11
2024-12-06,29,42,37,168710,29
2024-12-07,43,80,54,929420,43
2024-12-08,14,23,14,361170,14
2024-12-09,11,19,11,287220,11
2024-12-10,2,6,3,83050,3
2024-12-11,8,18,9,93500,9
2024-12-12,4,6,5,80260,4
2024-12-13,16,23,14,34760,14
2024-12-14,16,54,20,1147810,16
