date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-06-19,49,112,83,1142680,49
2025-06-20,46,81,67,1478010,46
2025-06-21,45,85,45,1713677,45
2025-06-22,31,201,106,3053000,31
2025-06-23,35,95,55,1279370,35
2025-06-24,45,72,70,959770,45
2025-06-25,31,33,30,391610,30
2025-06-26,44,121,89,1374700,42
2025-06-27,55,133,85,1742980,54
2025-06-28,72,195,109,3007855,72
2025-06-29,28,79,52,1249790,28
2025-06-30,28,120,66,1396040,28
2025-07-01,58,94,,1132520,38
2025-07-02,37,94,61,1174600,37
2025-07-03,42,84,70,874490,42
2025-07-04,30,50,35,753570,30
2025-07-05,46,86,50,1483130,46
2025-07-06,39,93,64,1393095,35
2025-07-07,29,72,51,629610,29
2025-07-08,37,43,40,493270,35
2025-07-09,26,54,36,463090,26
2025-07-10,25,64,50,833600,24
2025-07-11,23,40,25,748930,21
2025-07-12,26,65,35,1303640,26
2025-07-13,38,90,75,1542670,34
2025-07-14,34,46,40,628950,34
2025-07-15,25,42,48,521720,25
2025-07-16,32,40,38,431500,28
2025-07-17,22,63,58,608350,22
2025-07-18,39,99,59,1637960,38
2025-07-19,68,152,65,2356730,60
2025-07-20,46,130,74,2152346,46
2025-07-21,29,62,32,777589,29
2025-07-22,32,47,30,649340,30
2025-07-23,38,55,37,885551,36
2025-07-24,34,46,61,475220,32
2025-07-25,35,85,38,1319110,35
2025-07-26,43,102,45,1716800,42
2025-07-27,28,82,38,1102950,20
2025-07-28,31,76,35,1290188,27
2025-07-29,31,51,34,820316,30
2025-07-30,16,30,20,288866,16
2025-07-31,23,58,26,739516,22
2025-08-01,78,190,81,3019095,76
2025-08-02,31,80,35,1323911,31
2025-08-03,19,70,21,967735,19
2025-08-04,17,22,17,435180,17
2025-08-05,20,40,19,614156,19
2025-08-06,16,44,18,421140,16
2025-08-07,20,30,20,419510,20
2025-08-08,39,79,40,1297440,39
2025-08-09,53,100,55,1811451,53
2025-08-10,47,107,49,1868025,46
2025-08-11,39,86,40,1497926,38
2025-08-12,34,68,38,1293430,33
2025-08-13,50,95,50,1543364,48
2025-08-14,36,79,35,1580044,33
2025-08-15,28,73,31,1327570,28
2025-08-16,33,79,35,1115380,33
2025-08-17,21,55,22,893620,21
2025-08-18,10,18,10,339700,10
2025-08-19,17,28,16,309750,16
2025-08-20,24,48,24,737360,23
2025-08-21,10,27,12,540100,10
2025-08-22,9,12,9,188650,9
2025-08-23,48,74,48,599400,48
2025-08-24,9,13,9,117220,9
2025-08-25,11,21,11,239366,11
2025-08-26,11,16,11,116010,11
2025-08-27,8,16,8,153630,8
2025-08-28,12,18,12,147530,12
2025-08-29,9,15,9,121250,9
2025-08-30,21,58,22,572030,21
2025-08-31,13,24,13,346560,13
2025-09-01,15,22,15,237500,15
2025-09-02,14,20,14,160530,14
2025-09-03,18,41,21,424090,18
2025-09-04,14,35,17,248500,14
2025-09-05,15,27,16,418000,15
2025-09-06,21,44,22,528040,21
2025-09-07,12,19,12,231340,12
2025-09-08,15,23,15,423200,15
2025-09-09,18,30,18,266100,18
2025-09-10,16,39,19,466300,16
2025-09-11,14,33,17,148600,14
2025-09-12,19,25,17,206249,17
2025-09-13,25,44,25,785271,24
2025-09-14,17,47,22,682251,17
2025-09-15,13,18,13,148600,13
2025-09-16,2,17,5,89600,2
2025-09-17,3,19,6,156200,3
