date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-07-02,50,136,98,1557870,47
2026-07-03,71,136,89,2105785,66
2026-07-04,76,167,88,2863651,76
2026-07-05,75,153,93,2439294,63
2026-07-06,71,90,67,971570,52
2026-07-07,37,89,70,1219525,35
2026-07-08,53,113,76,1404860,46
2026-07-09,64,111,79,1624387,64
2026-07-10,72,166,105,2085280,70
2026-07-11,86,271,119,3835499,86
2026-07-12,52,127,67,1783545,44
2026-07-13,37,67,53,1050250,34
2026-07-14,48,66,53,1150420,42
2026-07-15,46,71,60,784988,45
2026-07-16,50,153,98,1925317,45
2026-07-17,69,100,57,1513871,48
2026-07-18,101,222,108,4695588,94
2026-07-19,86,238,113,3965800,85
2026-07-20,45,109,68,1455721,43
2026-07-21,33,68,53,1009901,32
2026-07-22,33,95,53,1051030,29
2026-07-23,28,46,30,614482,24
2026-07-24,43,107,59,1524070,40
2026-07-25,73,200,84,3379743,69
2026-07-26,82,176,73,2289269,65
2026-07-27,49,160,98,2016775,48
2026-07-28,40,115,67,1536180,39
2026-07-29,43,102,66,1385946,40
2026-07-30,44,110,48,1553291,40
2026-07-31,63,187,105,2786716,57
2026-08-01,144,324,139,5261771,109
2026-08-02,58,152,78,2206905,52
2026-08-03,73,118,62,1556664,55
2026-08-04,86,125,74,1603441,65
2026-08-05,57,131,77,1513012,53
2026-08-06,44,110,64,1841441,44
2026-08-07,52,163,90,1874782,48
2026-08-08,65,196,89,3438050,62
2026-08-09,59,234,113,4212830,56
2026-08-10,63,179,81,3493039,58
2026-08-11,58,133,56,2502287,48
2026-08-12,54,159,64,3469595,51
2026-08-13,46,143,53,2849480,46
2026-08-14,52,137,54,2721420,51
2026-08-15,26,81,44,1501430,25
2026-08-16,39,73,31,1126241,28
2026-08-17,47,84,43,904300,38
2026-08-18,33,114,68,1419580,32
2026-08-19,26,66,42,758610,26
2026-08-20,18,45,27,798980,18
2026-08-21,34,76,32,1077621,27
2026-08-22,52,157,64,1607765,46
2026-08-23,43,148,106,1963605,42
2026-08-24,34,81,66,1092675,30
2026-08-25,27,88,66,1265705,27
2026-08-26,24,38,26,415830,23
2026-08-27,48,117,74,1585210,48
2026-08-28,38,72,72,1238040,31
2026-08-29,31,110,54,1688870,30
2026-08-30,19,48,24,688020,18
2026-08-31,13,24,35,156790,13
2026-09-01,19,24,33,205513,15
2026-09-02,15,30,40,278883,15
2026-09-03,22,113,76,1133743,21
2026-09-04,20,67,53,819928,19
2026-09-05,48,104,56,1354664,47
2026-09-06,21,91,43,1152250,21
2026-09-07,22,59,41,414430,18
2026-09-08,21,85,71,1184090,19
2026-09-09,29,64,55,619620,29
2026-09-10,26,156,77,1779410,26
2026-09-11,15,74,49,987910,15
2026-09-12,36,58,37,774000,36
2026-09-13,13,23,34,230800,13
2026-09-14,19,56,43,470200,19
2026-09-15,15,87,27,1036980,15
2026-09-16,33,80,64,817260,31
2026-09-17,14,116,59,1384640,14
2026-09-18,28,36,23,657466,23
2026-09-19,45,95,47,1488853,41
2026-09-20,40,112,47,2098142,37
2026-09-21,31,106,39,2632765,31
2026-09-22,17,58,22,1031810,17
2026-09-23,11,56,35,783420,10
2026-09-24,15,56,32,584970,13
2026-09-25,29,43,29,614050,29
2026-09-26,5,18,7,302600,5
2026-09-27,6,10,5,275200,5
2026-09-28,2,19,6,78000,2
2026-09-29,2,18,5,156300,2
2026-09-30,0,0,0,0,0
