date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-03-04,49,74,61,789414,47
2025-03-05,59,138,97,1560540,57
2025-03-06,56,115,85,1430330,54
2025-03-07,44,134,74,2257890,43
2025-03-08,45,121,61,2992480,45
2025-03-09,42,107,64,1777100,38
2025-03-10,71,120,87,1600830,53
2025-03-11,56,114,78,1539840,50
2025-03-12,61,131,82,1858164,56
2025-03-13,49,115,74,1866940,47
2025-03-14,48,145,89,1832960,46
2025-03-15,57,144,70,3023550,54
2025-03-16,49,120,65,1944430,34
2025-03-17,63,116,106,1853813,54
2025-03-18,39,76,87,1051333,36
2025-03-19,26,67,53,1199391,24
2025-03-20,49,166,90,2489521,48
2025-03-21,54,138,76,2236100,53
2025-03-22,50,125,78,2316870,50
2025-03-23,39,101,85,1548240,38
2025-03-24,45,101,92,1337370,41
2025-03-25,49,93,81,1133904,48
2025-03-26,44,112,83,1374720,38
2025-03-27,66,105,100,971910,60
2025-03-28,43,107,85,1141678,41
2025-03-29,68,180,113,3054832,68
2025-03-30,54,103,77,1155720,54
2025-03-31,31,54,49,475984,30
2025-04-01,16,21,17,225340,16
2025-04-02,20,49,57,656010,20
2025-04-03,20,38,37,570670,20
2025-04-04,47,110,68,708050,46
2025-04-05,40,110,66,1631510,40
2025-04-06,27,48,46,616910,27
2025-04-07,33,52,45,787770,28
2025-04-08,25,48,30,606250,25
2025-04-09,18,39,24,645480,18
2025-04-10,17,27,20,486950,17
2025-04-11,20,44,23,742480,20
2025-04-12,55,155,92,2620100,55
2025-04-13,63,129,89,2016000,58
2025-04-14,16,23,16,430200,14
2025-04-15,17,76,34,1388000,16
2025-04-16,14,62,35,801060,14
2025-04-17,11,20,19,165090,11
2025-04-18,24,68,34,1107325,23
2025-04-19,66,105,72,1618720,65
2025-04-20,23,57,47,775030,23
2025-04-21,23,39,21,601950,21
2025-04-22,17,33,18,590270,14
2025-04-23,14,55,41,780910,14
2025-04-24,17,78,55,1099310,16
2025-04-25,10,46,26,708210,10
2025-04-26,31,58,32,1206380,30
2025-04-27,26,45,30,938480,26
2025-04-28,22,36,22,653030,22
2025-04-29,24,46,28,849472,24
2025-04-30,15,26,15,493490,15
2025-05-01,14,20,14,453710,14
2025-05-02,22,30,22,527290,22
2025-05-03,56,109,54,2222687,53
2025-05-04,39,99,42,2000836,39
2025-05-05,12,34,14,1054150,12
2025-05-06,2,3,2,32780,2
2025-05-07,3,4,3,45430,3
2025-05-08,10,47,28,701530,6
2025-05-09,14,18,15,161400,14
2025-05-10,24,55,26,538720,22
2025-05-11,5,23,8,160030,5
2025-05-12,8,24,11,97410,7
2025-05-13,9,48,35,446670,9
2025-05-14,13,18,13,189730,13
2025-05-15,15,44,28,669480,15
2025-05-16,19,89,56,1350300,19
2025-05-17,71,251,131,3080400,71
2025-05-18,11,53,32,685850,10
2025-05-19,5,29,13,485100,4
2025-05-20,8,33,17,464200,8
2025-05-21,7,23,10,105600,7
2025-05-22,10,32,14,242900,10
2025-05-23,15,15,15,23980,15
2025-05-24,34,54,32,535797,32
2025-05-25,12,47,35,659206,12
2025-05-26,8,43,31,581036,8
2025-05-27,3,18,6,90050,3
2025-05-28,3,17,6,21450,3
2025-05-29,10,27,13,516850,10
2025-05-30,3,5,3,120500,3
2025-05-31,5,9,5,148700,5
2025-06-01,2,5,2,231700,2
2025-06-02,2,17,5,109800,2
