date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-09-04,58,77,58,738040,54
2024-09-05,76,122,93,1054524,74
2024-09-06,59,174,107,2280310,57
2024-09-07,62,150,73,2505530,62
2024-09-08,57,121,63,1758360,54
2024-09-09,44,77,61,1229830,41
2024-09-10,32,67,45,659930,32
2024-09-11,33,58,34,488990,29
2024-09-12,55,96,69,1172660,54
2024-09-13,59,132,77,1810681,46
2024-09-14,117,232,105,3375821,96
2024-09-15,85,238,111,3409701,83
2024-09-16,28,85,48,1344570,25
2024-09-17,62,124,87,1184194,45
2024-09-18,42,88,60,813134,38
2024-09-19,41,79,52,941811,36
2024-09-20,69,167,105,2521447,66
2024-09-21,60,143,89,2488253,57
2024-09-22,61,164,66,2539240,62
2024-09-23,37,69,43,1122945,32
2024-09-24,42,58,32,410620,27
2024-09-25,53,124,98,1208580,52
2024-09-26,53,153,111,1563330,50
2024-09-27,66,136,91,1991690,61
2024-09-28,61,122,73,1780995,61
2024-09-29,36,73,36,1208430,36
2024-09-30,30,45,60,633334,23
2024-10-01,22,76,57,1083054,22
2024-10-02,27,51,32,628664,26
2024-10-03,23,33,22,599724,19
2024-10-04,52,99,59,1591624,49
2024-10-05,33,163,59,2572770,34
2024-10-06,37,108,71,1706260,35
2024-10-07,31,46,32,782970,31
2024-10-08,36,84,51,800430,23
2024-10-09,19,89,40,626498,20
2024-10-10,32,49,31,903430,30
2024-10-11,43,80,47,1315522,40
2024-10-12,55,165,75,2308136,54
2024-10-13,39,157,69,2525506,39
2024-10-14,11,38,39,654400,11
2024-10-15,10,16,11,304360,10
2024-10-16,16,70,52,907720,14
2024-10-17,29,127,59,1889830,26
2024-10-18,39,102,58,1322050,39
2024-10-19,38,102,67,1863200,38
2024-10-20,22,111,50,1540900,23
2024-10-21,26,58,45,1142654,21
2024-10-22,33,119,56,1664909,22
2024-10-23,17,80,34,904284,16
2024-10-24,20,50,35,947034,18
2024-10-25,55,96,58,1503264,49
2024-10-26,65,188,88,3046090,65
2024-10-27,34,96,56,1419240,31
2024-10-28,24,98,55,1683310,24
2024-10-29,21,72,59,976090,21
2024-10-30,19,85,58,1023510,19
2024-10-31,27,106,62,1661940,25
2024-11-01,41,91,41,1592590,27
2024-11-02,60,164,81,2776910,59
2024-11-03,34,153,65,2651510,34
2024-11-04,20,88,57,1410860,20
2024-11-05,13,78,39,316030,12
2024-11-06,18,80,51,938780,18
2024-11-07,25,94,64,1357110,24
2024-11-08,27,95,51,1429670,26
2024-11-09,57,174,79,2788850,57
2024-11-10,23,140,53,2105915,24
2024-11-11,22,115,53,1824864,20
2024-11-12,17,75,37,758564,15
2024-11-13,19,87,58,903100,17
2024-11-14,12,85,32,987350,12
2024-11-15,17,75,28,1140900,17
2024-11-16,55,141,73,3205760,39
2024-11-17,27,137,57,1943580,28
2024-11-18,17,112,56,1970520,14
2024-11-19,11,90,53,1213820,11
2024-11-20,12,46,17,730700,12
2024-11-21,19,86,58,1513013,16
2024-11-22,33,103,59,1449963,33
2024-11-23,53,164,67,2397333,54
2024-11-24,20,121,55,1915490,19
2024-11-25,17,108,43,1153730,18
2024-11-26,11,82,35,1199300,11
2024-11-27,2,45,34,622900,2
2024-11-28,15,28,16,478170,14
2024-11-29,10,79,31,2152820,10
2024-11-30,24,112,39,1746200,24
2024-12-01,23,85,31,1340100,10
2024-12-02,4,56,42,713900,5
