date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-09-25,66,130,95,1476072,64
2025-09-26,63,122,101,1770890,57
2025-09-27,73,168,109,3218738,72
2025-09-28,39,118,81,1722795,39
2025-09-29,62,200,127,1688221,61
2025-09-30,49,78,60,796570,34
2025-10-01,29,77,59,1132840,28
2025-10-02,45,107,77,1220290,45
2025-10-03,55,73,47,1224200,43
2025-10-04,33,158,94,2852400,33
2025-10-05,42,84,72,1162320,41
2025-10-06,42,70,80,1174270,35
2025-10-07,27,90,59,1373170,24
2025-10-08,32,73,56,842490,32
2025-10-09,28,41,30,511460,26
2025-10-10,39,62,63,837640,39
2025-10-11,72,135,93,2581408,68
2025-10-12,53,176,110,3280321,53
2025-10-13,21,77,80,1126543,21
2025-10-14,20,46,39,821145,20
2025-10-15,25,73,59,1365880,25
2025-10-16,38,96,53,1421260,35
2025-10-17,72,152,93,1528790,60
2025-10-18,71,136,113,2285610,66
2025-10-19,33,116,91,1702644,33
2025-10-20,35,92,49,1366530,34
2025-10-21,32,101,69,1615370,30
2025-10-22,24,109,82,1828850,24
2025-10-23,27,98,63,1344930,26
2025-10-24,38,94,52,1264300,37
2025-10-25,66,150,94,2265140,66
2025-10-26,24,65,49,937364,24
2025-10-27,27,86,58,1369070,27
2025-10-28,23,82,56,1143110,21
2025-10-29,33,69,40,701640,32
2025-10-30,35,105,94,1671790,34
2025-10-31,57,127,69,1816330,53
2025-11-01,53,114,58,2111040,49
2025-11-02,57,106,54,2061635,47
2025-11-03,21,50,27,1040640,21
2025-11-04,11,60,34,1028380,11
2025-11-05,38,51,34,650323,33
2025-11-06,34,71,56,800273,34
2025-11-07,39,89,60,1491318,39
2025-11-08,40,197,95,2919043,40
2025-11-09,25,89,41,1319693,24
2025-11-10,39,113,70,1369733,39
2025-11-11,48,96,63,1096000,47
2025-11-12,55,81,63,1040750,51
2025-11-13,28,104,69,1498150,25
2025-11-14,47,133,61,1530064,47
2025-11-15,42,160,86,1622250,42
2025-11-16,26,77,41,1455310,26
2025-11-17,24,57,33,1129630,16
2025-11-18,14,80,40,413490,13
2025-11-19,32,63,38,685450,32
2025-11-20,40,84,82,1072640,40
2025-11-21,48,76,46,1319696,45
2025-11-22,45,158,66,3047832,42
2025-11-23,42,113,70,2719546,40
2025-11-24,30,50,33,904010,29
2025-11-25,19,57,32,737760,19
2025-11-26,13,59,34,298760,13
2025-11-27,22,36,40,1037550,21
2025-11-28,37,155,70,1747010,36
2025-11-29,30,143,78,3418270,29
2025-11-30,38,83,37,1206280,30
2025-12-01,18,37,20,894180,18
2025-12-02,12,20,13,592080,11
2025-12-03,9,29,17,187560,9
2025-12-04,6,8,6,160000,6
2025-12-05,12,24,15,582700,12
2025-12-06,13,32,15,1262200,13
2025-12-07,6,18,9,262750,6
2025-12-08,1,2,1,39600,1
2025-12-09,2,2,2,17160,2
2025-12-10,9,12,9,116600,9
2025-12-11,1,3,1,255300,1
2025-12-12,6,13,7,228800,6
2025-12-13,13,33,15,419650,13
2025-12-14,15,25,16,649450,15
2025-12-15,0,0,0,0,0
2025-12-16,2,4,2,68200,2
2025-12-17,7,7,7,12100,7
2025-12-18,8,9,8,278100,8
2025-12-19,6,15,7,374800,6
2025-12-20,19,22,13,260040,13
2025-12-21,7,25,13,420800,7
2025-12-22,1,4,4,9800,1
2025-12-23,2,6,2,132050,2
2025-12-24,1,2,1,133200,1
