date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-02-28,50,116,58,3107180,47
2026-03-01,79,89,53,1519910,37
2026-03-02,83,184,122,3548780,80
2026-03-03,112,162,112,2436526,72
2026-03-04,90,116,99,1520435,85
2026-03-05,81,120,96,1687320,78
2026-03-06,82,190,126,2800450,82
2026-03-07,99,166,105,3114590,98
2026-03-08,89,155,112,2417920,75
2026-03-09,64,87,72,1295580,60
2026-03-10,43,82,64,1595732,34
2026-03-11,35,89,60,1058032,33
2026-03-12,83,93,67,1663924,51
2026-03-13,61,128,83,2567001,56
2026-03-14,50,148,76,3136448,50
2026-03-15,55,132,85,2348556,55
2026-03-16,58,90,57,1223190,53
2026-03-17,43,115,69,1824854,41
2026-03-18,37,63,46,1083290,36
2026-03-19,50,102,97,2073590,49
2026-03-20,92,204,133,3716582,91
2026-03-21,71,164,100,3239237,68
2026-03-22,68,93,57,1230410,41
2026-03-23,53,108,75,1268161,49
2026-03-24,44,112,87,1446001,41
2026-03-25,51,102,83,1273692,48
2026-03-26,96,172,110,3352845,82
2026-03-27,67,151,72,2579650,54
2026-03-28,60,155,74,2634049,60
2026-03-29,46,119,78,1842210,46
2026-03-30,53,90,54,1353274,45
2026-03-31,24,67,52,968860,24
2026-04-01,129,62,45,852430,40
2026-04-02,32,55,39,863040,32
2026-04-03,37,91,53,1205720,32
2026-04-04,35,104,49,1619960,34
2026-04-05,39,68,41,713460,30
2026-04-06,34,93,55,1369030,32
2026-04-07,58,136,83,1948330,58
2026-04-08,36,108,72,1444456,33
2026-04-09,18,33,27,537076,18
2026-04-10,32,105,57,1215491,32
2026-04-11,36,90,52,1663070,36
2026-04-12,40,118,81,1769500,30
2026-04-13,31,109,66,1392470,25
2026-04-14,20,64,42,802970,20
2026-04-15,36,42,35,1007420,27
2026-04-16,24,70,51,882063,22
2026-04-17,35,111,66,1639593,32
2026-04-18,85,177,110,1741723,84
2026-04-19,37,80,41,1142522,29
2026-04-20,24,63,46,976550,24
2026-04-21,28,93,59,824777,25
2026-04-22,16,34,24,436690,16
2026-04-23,16,54,36,799660,16
2026-04-24,15,60,36,840410,15
2026-04-25,30,60,31,1235734,29
2026-04-26,14,68,42,1098730,13
2026-04-27,6,12,9,235930,6
2026-04-28,8,15,10,198154,8
2026-04-29,18,19,13,257750,10
2026-04-30,18,59,37,832200,18
2026-05-01,54,51,30,1070820,26
2026-05-02,38,93,60,1902658,33
2026-05-03,54,132,83,2960108,53
2026-05-04,42,105,80,2500718,39
2026-05-05,21,55,52,1085658,21
2026-05-06,11,15,14,143550,11
2026-05-07,8,9,9,74110,8
2026-05-08,12,48,29,633390,11
2026-05-09,11,94,40,1605000,11
2026-05-10,26,25,15,441934,14
2026-05-11,11,49,27,624300,6
2026-05-12,28,127,65,1486400,27
2026-05-13,4,24,12,326800,4
2026-05-14,7,29,14,270200,7
2026-05-15,18,27,19,410770,18
2026-05-16,71,231,132,1268930,71
2026-05-17,34,91,52,1598760,21
2026-05-18,8,96,47,1059500,8
2026-05-19,9,46,26,443600,9
2026-05-20,4,22,11,106100,4
2026-05-21,9,29,15,213010,8
2026-05-22,5,37,21,580000,5
2026-05-23,37,100,48,1967147,33
2026-05-24,29,30,22,364510,17
2026-05-25,7,75,44,1084910,7
2026-05-26,5,10,9,86870,5
2026-05-27,5,26,15,101060,5
2026-05-28,2,17,5,33000,2
2026-05-29,3,18,6,527350,3
