date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2025-09-21,59,120,74,1943970,58
2025-09-22,47,83,63,880730,38
2025-09-23,52,85,62,1130501,47
2025-09-24,65,147,109,1849372,63
2025-09-25,66,129,95,1306072,64
2025-09-26,65,127,103,1650110,59
2025-09-27,72,163,108,3091088,71
2025-09-28,37,114,79,1675355,37
2025-09-29,60,196,125,1664571,59
2025-09-30,48,77,59,796570,33
2025-10-01,30,78,60,409810,29
2025-10-02,47,109,79,1212040,47
2025-10-03,56,75,48,982200,44
2025-10-04,33,158,94,2852400,33
2025-10-05,42,84,72,1162320,41
2025-10-06,41,68,79,1079670,34
2025-10-07,31,92,63,1350620,28
2025-10-08,33,70,57,765940,33
2025-10-09,27,40,29,496610,25
2025-10-10,38,61,62,554830,38
2025-10-11,67,129,88,2501238,63
2025-10-12,50,172,108,3209811,50
2025-10-13,24,83,83,1150743,24
2025-10-14,19,44,38,816745,19
2025-10-15,23,69,57,1176680,23
2025-10-16,37,95,52,1413010,34
2025-10-17,70,149,91,1488530,58
2025-10-18,72,138,114,2424210,67
2025-10-19,30,108,88,1575064,30
2025-10-20,32,84,44,1287470,31
2025-10-21,29,96,66,1545770,27
2025-10-22,23,107,81,1693280,23
2025-10-23,21,88,57,1168040,20
2025-10-24,36,91,50,1242900,35
2025-10-25,65,149,93,2251740,65
2025-10-26,21,60,46,887650,21
2025-10-27,24,82,55,1337990,24
2025-10-28,20,77,53,1039310,18
2025-10-29,30,63,37,631640,29
2025-10-30,32,100,91,1650390,31
2025-10-31,55,124,67,1794930,51
2025-11-01,46,100,51,1799040,42
2025-11-02,53,99,50,1983035,43
2025-11-03,16,39,22,828040,16
2025-11-04,9,57,32,1006980,9
2025-11-05,35,46,31,582723,30
2025-11-06,34,71,56,830873,34
2025-11-07,37,83,58,1341118,37
2025-11-08,36,193,91,2880323,36
2025-11-09,22,80,38,1154393,22
2025-11-10,39,111,69,1335333,39
2025-11-11,48,96,63,1096000,47
2025-11-12,54,80,62,951150,50
2025-11-13,28,104,69,1498150,25
2025-11-14,47,132,61,1426664,47
2025-11-15,42,160,86,1622250,42
2025-11-16,26,77,41,1455310,26
2025-11-17,23,56,32,1121930,15
2025-11-18,13,79,39,405790,12
2025-11-19,32,63,38,685450,32
2025-11-20,40,84,82,1072640,40
2025-11-21,45,70,43,1121696,42
2025-11-22,43,152,64,2975532,40
2025-11-23,40,107,68,2583546,38
2025-11-24,27,44,30,734210,26
2025-11-25,18,55,31,631160,18
2025-11-26,13,59,34,298760,13
2025-11-27,20,31,38,1002350,19
2025-11-28,37,155,70,1747010,36
2025-11-29,29,142,77,3408370,28
2025-11-30,37,82,36,1197480,29
2025-12-01,15,29,17,776480,15
2025-12-02,11,17,12,424080,10
2025-12-03,9,29,17,187560,9
2025-12-04,6,8,6,160000,6
2025-12-05,12,24,15,582700,12
2025-12-06,13,32,15,1262200,13
2025-12-07,6,18,9,262750,6
2025-12-08,1,2,1,39600,1
2025-12-09,1,1,1,9900,1
2025-12-10,8,9,8,73700,8
2025-12-11,1,3,1,255300,1
2025-12-12,4,9,5,151800,4
2025-12-13,13,33,15,419650,13
2025-12-14,14,23,15,647250,14
2025-12-15,0,0,0,0,0
2025-12-16,1,2,1,37400,1
2025-12-17,7,7,7,12100,7
2025-12-18,8,9,8,278100,8
2025-12-19,5,14,6,368200,5
2025-12-20,10,4,4,19800,4
