date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-11-24,43,174,88,3088480,34
2024-11-25,36,136,86,2268660,34
2024-11-26,41,126,65,2390690,36
2024-11-27,19,86,53,1157680,16
2024-11-28,42,106,69,1577350,40
2024-11-29,34,158,80,3603990,34
2024-11-30,50,157,70,3334653,49
2024-12-01,50,107,45,1823430,36
2024-12-02,19,86,58,1544200,17
2024-12-03,24,84,47,1227108,24
2024-12-04,35,136,66,1873730,28
2024-12-05,45,102,59,1602530,32
2024-12-06,33,129,77,2172050,33
2024-12-07,29,165,90,3113420,29
2024-12-08,40,107,61,2267250,33
2024-12-09,16,96,59,1073910,14
2024-12-10,26,63,50,1010810,23
2024-12-11,16,64,37,627510,16
2024-12-12,32,71,57,1263890,30
2024-12-13,42,100,57,1395860,38
2024-12-14,48,160,92,3469290,48
2024-12-15,42,132,56,2487510,31
2024-12-16,22,26,23,330460,7
2024-12-17,15,33,20,577980,15
2024-12-18,16,28,21,332880,15
2024-12-19,8,44,29,689730,7
2024-12-20,28,110,44,1929580,26
2024-12-21,32,90,38,2001160,32
2024-12-22,34,72,43,1279240,23
2024-12-23,32,61,41,933704,26
2024-12-24,19,51,29,893230,18
2024-12-25,18,42,28,647310,14
2024-12-26,5,29,22,477020,5
2024-12-27,24,80,35,1413680,19
2024-12-28,36,101,55,2273400,31
2024-12-29,34,117,39,2932118,34
2024-12-30,30,95,33,2531570,28
2024-12-31,37,112,75,2923450,35
2025-01-01,45,134,51,3709050,28
2025-01-02,29,91,33,2482950,25
2025-01-03,23,87,48,2301400,21
2025-01-04,7,53,26,1090880,6
2025-01-05,32,19,9,316400,8
2025-01-06,10,15,12,189660,6
2025-01-07,26,25,34,266910,9
2025-01-08,16,31,20,365360,12
2025-01-09,10,57,44,831310,9
2025-01-10,11,55,21,840010,10
2025-01-11,24,58,31,1134400,23
2025-01-12,16,80,28,1492430,16
2025-01-13,15,34,18,625060,14
2025-01-14,11,28,16,402870,10
2025-01-15,10,76,40,288580,9
2025-01-16,17,6,5,116780,2
2025-01-17,14,93,65,1334730,13
2025-01-18,18,102,60,1854830,17
2025-01-19,50,33,19,659460,17
2025-01-20,13,52,40,812960,12
2025-01-21,5,38,18,538860,4
2025-01-22,2,38,19,515760,2
2025-01-23,9,41,46,466360,9
2025-01-24,13,39,18,743628,13
2025-01-25,21,87,37,1677590,19
2025-01-26,27,59,29,994030,18
2025-01-27,9,38,31,590480,9
2025-01-28,1,6,4,124480,1
2025-01-29,9,39,18,531160,9
2025-01-30,11,52,43,770210,9
2025-01-31,6,21,11,310070,6
2025-02-01,28,60,21,1352450,14
2025-02-02,8,17,24,349200,8
2025-02-03,4,55,56,732900,4
2025-02-04,3,7,4,112500,2
2025-02-05,2,10,4,175380,2
2025-02-06,1,2,2,72900,1
2025-02-07,4,11,5,147040,4
2025-02-08,10,43,19,508380,10
2025-02-09,5,9,5,194880,4
2025-02-10,6,26,24,485680,4
2025-02-11,1,14,25,175200,1
2025-02-12,2,7,26,69380,2
2025-02-13,1,2,2,45100,1
2025-02-14,2,6,2,113300,2
2025-02-15,10,29,11,644200,10
2025-02-16,2,7,2,84000,2
2025-02-17,1,2,1,102400,1
2025-02-18,2,5,2,84150,2
2025-02-19,6,6,5,0,3
2025-02-20,0,2,1,0,0
2025-02-21,13,29,13,180390,13
