date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-08-27,45,134,73,1555060,40
2024-08-28,53,93,62,1023850,42
2024-08-29,51,90,57,1018840,51
2024-08-30,61,118,71,1303920,57
2024-08-31,60,146,78,2154170,58
2024-09-01,46,179,94,2716610,42
2024-09-02,29,53,37,793170,28
2024-09-03,40,93,66,1205530,40
2024-09-04,50,65,49,581070,47
2024-09-05,64,105,77,904784,62
2024-09-06,49,155,106,2011070,48
2024-09-07,53,133,61,2273680,53
2024-09-08,42,91,55,1237310,40
2024-09-09,33,61,57,980460,30
2024-09-10,23,53,35,486210,23
2024-09-11,27,56,47,506640,23
2024-09-12,39,71,47,852230,37
2024-09-13,51,104,68,1470721,38
2024-09-14,99,217,111,3018651,83
2024-09-15,73,213,115,3023351,71
2024-09-16,30,82,48,1373590,27
2024-09-17,55,111,64,1043664,42
2024-09-18,31,75,50,684774,30
2024-09-19,38,68,44,833531,32
2024-09-20,71,166,107,1863337,68
2024-09-21,53,144,82,2229663,50
2024-09-22,56,150,61,2270150,57
2024-09-23,31,61,38,998395,27
2024-09-24,41,56,31,391220,27
2024-09-25,48,84,59,620200,48
2024-09-26,52,128,94,1151730,50
2024-09-27,62,123,85,1787010,57
2024-09-28,57,105,68,1360840,57
2024-09-29,34,70,34,1160210,34
2024-09-30,24,35,56,535814,19
2024-10-01,16,65,59,1025434,16
2024-10-02,23,42,28,547914,23
2024-10-03,16,24,14,493904,12
2024-10-04,46,90,54,1423474,44
2024-10-05,24,140,49,1999970,25
2024-10-06,33,99,69,1473410,31
2024-10-07,29,41,30,594770,29
2024-10-08,19,83,50,718370,19
2024-10-09,17,85,37,495774,18
2024-10-10,29,44,27,738120,27
2024-10-11,35,70,37,1217072,32
2024-10-12,55,151,70,2118536,51
2024-10-13,34,127,62,2405296,34
2024-10-14,12,39,39,736600,12
2024-10-15,11,24,33,409960,11
2024-10-16,15,67,50,872520,13
2024-10-17,25,115,53,1745180,22
2024-10-18,25,73,43,1178350,25
2024-10-19,37,102,65,1809700,37
2024-10-20,21,108,48,1529100,22
2024-10-21,23,51,41,1044694,18
2024-10-22,30,108,52,1486049,19
2024-10-23,17,80,34,904284,16
2024-10-24,21,52,36,964634,19
2024-10-25,46,81,50,1119064,41
2024-10-26,57,142,73,2346210,57
2024-10-27,27,129,65,1871140,24
2024-10-28,21,92,52,1509210,21
2024-10-29,20,57,37,778090,20
2024-10-30,18,71,50,828810,18
2024-10-31,26,84,41,1383640,24
2024-11-01,36,84,36,1401790,22
2024-11-02,52,147,72,2238600,50
2024-11-03,24,110,50,1942850,24
2024-11-04,13,18,14,373910,13
2024-11-05,12,78,39,317130,12
2024-11-06,17,51,29,577980,17
2024-11-07,23,82,62,1046410,22
2024-11-08,24,87,48,1334990,23
2024-11-09,40,132,57,2012440,40
2024-11-10,23,139,54,2098490,24
2024-11-11,22,98,47,1434364,20
2024-11-12,14,68,34,641414,12
2024-11-13,17,82,56,823900,15
2024-11-14,12,85,32,987350,12
2024-11-15,15,65,26,1046100,15
2024-11-16,49,115,52,1945000,33
2024-11-17,23,128,52,1771750,24
2024-11-18,13,104,52,1832720,11
2024-11-19,10,54,33,756020,9
2024-11-20,9,83,37,631500,9
2024-11-21,16,78,54,1402913,13
2024-11-22,31,93,50,1408963,31
2024-11-23,51,154,65,2328933,52
2024-11-24,10,59,24,1269130,9
