date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2026-07-28,74,181,96,2567798,66
2026-07-29,65,181,94,2244017,60
2026-07-30,74,180,89,2386080,68
2026-07-31,73,208,106,2891354,66
2026-08-01,153,326,143,5419116,118
2026-08-02,86,213,94,3126527,71
2026-08-03,116,200,110,2843008,96
2026-08-04,98,186,109,2228509,78
2026-08-05,94,207,115,2609185,89
2026-08-06,81,191,103,2596100,77
2026-08-07,86,237,114,3172852,81
2026-08-08,107,273,122,5613113,101
2026-08-09,83,269,124,5769455,74
2026-08-10,81,214,81,4270589,72
2026-08-11,95,241,92,4855798,78
2026-08-12,77,247,95,4761166,73
2026-08-13,79,243,87,4805908,76
2026-08-14,80,255,105,5134447,79
2026-08-15,47,143,64,3179640,44
2026-08-16,67,156,68,2302756,49
2026-08-17,66,130,79,1624310,56
2026-08-18,52,172,99,2098600,50
2026-08-19,42,116,77,1377981,40
2026-08-20,31,127,70,1854441,29
2026-08-21,69,151,69,1905321,48
2026-08-22,77,224,103,3221055,71
2026-08-23,47,158,99,2210875,47
2026-08-24,51,134,92,1865855,40
2026-08-25,35,146,98,2111885,34
2026-08-26,37,85,50,1118680,36
2026-08-27,55,124,85,1801245,55
2026-08-28,56,115,90,1957065,48
2026-08-29,40,124,58,1998560,38
2026-08-30,27,71,33,1478670,26
2026-08-31,27,46,33,396940,20
2026-09-01,51,39,45,384123,18
2026-09-02,24,49,52,553363,24
2026-09-03,25,131,80,1363563,24
2026-09-04,29,96,64,1146428,28
2026-09-05,66,154,75,2162284,65
2026-09-06,22,84,44,1225400,22
2026-09-07,24,62,44,432030,20
2026-09-08,22,88,73,1261090,20
2026-09-09,31,68,58,668020,31
2026-09-10,29,194,79,2397980,29
2026-09-11,21,93,56,1495600,21
2026-09-12,40,69,42,1059580,40
2026-09-13,21,46,43,704180,21
2026-09-14,34,70,52,626510,25
2026-09-15,29,108,43,1409450,28
2026-09-16,32,77,46,782280,30
2026-09-17,16,121,64,1452690,16
2026-09-18,34,49,32,930066,29
2026-09-19,55,118,56,2127523,49
2026-09-20,48,147,78,2874017,45
2026-09-21,39,130,50,3010570,39
2026-09-22,30,91,37,1904540,30
2026-09-23,13,57,38,826595,12
2026-09-24,17,62,35,662520,15
2026-09-25,62,118,82,1674080,50
2026-09-26,20,77,43,1070840,18
2026-09-27,12,71,57,1161250,11
2026-09-28,6,25,10,152250,5
2026-09-29,9,59,28,745240,9
2026-09-30,8,48,32,246565,8
2026-10-01,11,63,29,911835,11
2026-10-02,11,63,53,991430,10
2026-10-03,18,95,40,2032680,18
2026-10-04,12,20,9,321330,8
2026-10-05,9,35,18,527395,7
2026-10-06,7,21,11,282565,5
2026-10-07,14,43,20,459705,14
2026-10-08,9,116,61,1632155,9
2026-10-09,22,64,37,756250,21
2026-10-10,16,78,34,1593095,16
2026-10-11,32,58,30,1389555,26
2026-10-12,13,70,40,981420,7
2026-10-13,8,57,49,735900,8
2026-10-14,8,51,43,992790,8
2026-10-15,12,113,53,1572340,10
2026-10-16,15,45,24,1016320,14
2026-10-17,26,65,29,1207454,26
2026-10-18,23,83,49,1317210,11
2026-10-19,13,29,34,559450,10
2026-10-20,9,16,11,207940,5
2026-10-21,13,62,63,815360,11
2026-10-22,6,58,57,535840,6
2026-10-23,23,96,56,1416995,19
2026-10-24,19,95,59,1618535,14
2026-10-25,12,23,11,697190,9
2026-10-26,0,6,3,173400,0
