date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2024-03-16,83,211,86,4024734,66
2024-03-17,53,97,53,1991310,44
2024-03-18,41,110,63,1945300,35
2024-03-19,33,107,53,2081265,23
2024-03-20,24,79,46,1612480,23
2024-03-21,47,105,65,1919670,43
2024-03-22,46,145,70,2513655,45
2024-03-23,62,210,82,4649900,61
2024-03-24,50,136,55,2360270,43
2024-03-25,34,127,66,2171100,29
2024-03-26,26,128,83,2149350,25
2024-03-27,27,94,52,1224694,25
2024-03-28,37,86,40,1490994,33
2024-03-29,42,148,85,2576980,41
2024-03-30,45,190,79,3587890,44
2024-03-31,28,113,65,1768160,28
2024-04-01,38,60,35,825980,22
2024-04-02,21,58,38,1017260,17
2024-04-03,4,11,10,98860,4
2024-04-04,11,21,11,687230,10
2024-04-05,23,74,40,1381960,23
2024-04-06,33,116,74,2607310,33
2024-04-07,27,85,64,1467180,22
2024-04-08,11,29,18,706900,11
2024-04-09,11,67,52,1191400,11
2024-04-10,15,54,36,689980,13
2024-04-11,19,40,26,893160,18
2024-04-12,23,116,53,1992080,23
2024-04-13,18,79,38,1708350,18
2024-04-14,32,52,47,1113050,24
2024-04-15,10,28,20,615500,10
2024-04-16,16,41,29,763900,7
2024-04-17,6,21,12,347700,6
2024-04-18,15,38,38,852500,14
2024-04-19,22,48,31,567930,22
2024-04-20,33,104,38,2272490,33
2024-04-21,27,48,44,1072700,27
2024-04-22,6,38,21,705400,6
2024-04-23,7,25,9,449850,7
2024-04-24,9,25,12,626600,9
2024-04-25,17,24,23,492400,13
2024-04-26,19,50,23,1200550,19
2024-04-27,13,39,15,909150,13
2024-04-28,19,60,31,1393950,17
2024-04-29,16,27,15,796060,13
2024-04-30,3,9,5,129360,3
2024-05-01,10,21,8,272360,7
2024-05-02,14,56,35,1004820,12
2024-05-03,26,92,38,2032715,24
2024-05-04,22,71,35,1655055,20
2024-05-05,13,43,15,1163520,13
2024-05-06,2,4,2,91300,2
2024-05-07,2,2,1,30800,1
2024-05-08,1,11,3,169400,1
2024-05-09,2,35,20,512600,2
2024-05-10,26,153,77,2112163,23
2024-05-11,6,43,16,751513,6
2024-05-12,2,6,3,87413,2
2024-05-13,5,11,3,123360,3
2024-05-14,8,50,27,815640,8
2024-05-15,4,8,4,121560,3
2024-05-16,6,21,11,205130,5
2024-05-17,4,9,5,118930,4
2024-05-18,27,160,88,2365000,27
2024-05-19,8,40,32,667200,8
2024-05-20,3,5,3,134600,3
2024-05-21,2,9,9,156200,2
2024-05-22,4,11,4,152900,4
2024-05-23,3,100,36,1142480,3
2024-05-24,4,8,4,281500,4
2024-05-25,14,66,22,1226700,14
2024-05-26,6,40,18,407200,6
2024-05-27,2,3,2,108900,2
2024-05-28,2,4,2,105600,2
2024-05-29,6,4,2,68820,2
2024-05-30,4,20,18,288270,3
2024-05-31,0,3,2,37470,0
2024-06-01,7,24,9,383040,7
2024-06-02,2,44,20,689620,2
2024-06-03,1,2,1,71600,1
2024-06-04,0,0,0,0,0
2024-06-05,1,15,15,19800,1
2024-06-06,4,7,6,109350,3
2024-06-07,1,2,1,70400,1
2024-06-08,5,12,5,379100,5
2024-06-09,2,4,2,118100,2
2024-06-10,2,3,2,102900,2
2024-06-11,0,0,0,0,0
2024-06-12,0,0,0,0,0
2024-06-13,0,0,0,0,0
